Player,Team,Total Impact,Impact/Mat,Matches,Runs,Wkts
Sunil Narine,KKR,1115.2,79.6,14,488,17
Jasprit Bumrah,MI,769.8,59.2,13,12,20
Andre Russell,KKR,728.9,52.0,14,222,19
Abhishek Sharma,SRH,720.2,45.0,16,484,2
Virat Kohli,RCB,713.0,47.5,15,741,-
Pat Cummins,SRH,666.3,41.6,16,136,18
Travis Head,SRH,661.5,44.1,15,567,-
Nicholas Pooran,LSG,622.7,44.4,14,499,-
Riyan Parag,RR,613.7,40.9,15,573,-
Trent Boult,RR,595.7,39.7,15,14,16
Varun Chakravarthy,KKR,593.6,42.4,14,0,21
Marcus Stoinis,LSG,588.9,42.0,14,388,4
Axar Patel,DC,576.8,41.2,14,235,11
Sam Curran,PBKS,568.6,43.7,13,270,16
Ruturaj Gaikwad,CSK,567.2,40.5,14,583,-
Kuldeep Yadav,DC,555.8,50.5,11,47,16
Harshal Patel,PBKS,542.2,38.7,14,13,24
Sanju Samson,RR,541.7,36.1,15,531,-
Yashasvi Jaiswal,RR,541.4,36.0,15,435,-
Jake Fraser-McGurk,DC,520.6,57.8,9,330,-
Heinrich Klaasen,SRH,516.8,32.3,16,479,-
Harshit Rana,KKR,514.9,42.9,12,0,19
Rajat Patidar,RCB,501.4,33.4,15,395,-
T Natarajan,SRH,501.2,35.8,14,0,19
Avesh Khan,RR,495.9,33.0,15,10,19
Arshdeep Singh,PBKS,495.9,35.4,14,4,19
Khaleel Ahmed,DC,490.0,35.0,14,0,17
Phil Salt,KKR,480.7,40.0,12,435,-
Yuzvendra Chahal,RR,465.7,31.0,15,0,18
Bhuvneshwar Kumar,SRH,465.4,29.0,16,23,11
Tushar Deshpande,CSK,464.2,35.7,13,0,17
Shashank Singh,PBKS,462.9,33.0,14,354,1
Cameron Green,RCB,452.8,34.8,13,255,10
KL Rahul,LSG,451.2,32.2,14,520,-
Ravindra Jadeja,CSK,449.0,32.0,14,267,8
Rashid Khan,GT,445.5,37.1,12,102,10
Faf du Plessis,RCB,442.6,29.5,15,438,-
Sai Sudharsan,GT,439.7,36.6,12,527,-
Shivam Dube,CSK,431.3,30.8,14,396,1
Tristan Stubbs,DC,423.3,30.2,14,378,3
Shubman Gill,GT,418.7,34.8,12,426,-
Sandeep Sharma,RR,412.9,41.2,10,0,13
Ravichandran Ashwin,RR,404.2,28.8,14,86,9
Yash Dayal,RCB,400.1,28.5,14,0,15
Piyush Chawla,MI,396.7,36.0,11,15,13
Suryakumar Yadav,MI,396.0,36.0,11,345,-
Harpreet Brar,PBKS,388.4,29.8,13,75,7
Mohammed Siraj,RCB,386.0,27.5,14,12,15
Rohit Sharma,MI,385.5,27.5,14,417,-
Prabhsimran Singh,PBKS,384.5,27.4,14,334,-
Kagiso Rabada,PBKS,382.3,34.7,11,20,11
Rishabh Pant,DC,376.6,28.9,13,446,-
Tilak Varma,MI,376.1,28.9,13,416,-
Hardik Pandya,MI,372.5,26.6,14,216,11
Venkatesh Iyer,KKR,363.1,25.9,14,370,-
Matheesha Pathirana,CSK,358.7,59.7,6,0,13
Jos Buttler,RR,350.6,31.8,11,359,-
Shahbaz Ahmed,SRH,346.1,21.6,16,215,7
Rahul Chahar,PBKS,345.0,38.3,9,21,10
Mukesh Kumar,DC,339.4,33.9,10,3,17
Mitchell Starc,KKR,336.4,25.8,13,9,17
Dinesh Karthik,RCB,328.1,21.8,15,326,-
Ishan Kishan,MI,325.8,23.2,14,320,-
Abishek Porel,DC,325.0,23.2,14,327,-
Krunal Pandya,LSG,323.1,23.0,14,133,6
Nitish Kumar Reddy,SRH,316.2,24.3,13,303,3
Daryl Mitchell,CSK,309.0,23.7,13,318,1
Noor Ahmad,GT,308.1,30.8,10,5,8
Mustafizur Rahman,CSK,303.1,33.6,9,0,14
Will Jacks,RCB,294.0,36.7,8,230,2
Rachin Ravindra,CSK,285.5,28.5,10,222,-
Jonny Bairstow,PBKS,284.4,25.8,11,298,-
Shreyas Iyer,KKR,279.0,19.9,14,351,-
Ravi Bishnoi,LSG,277.7,19.8,14,4,10
Gerald Coetzee,MI,271.9,27.1,10,14,13
Ishant Sharma,DC,271.9,30.2,9,1,10
Mohsin Khan,LSG,263.3,26.3,10,2,10
Naveen-ul-Haq,LSG,261.4,26.1,10,2,14
Vaibhav Arora,KKR,259.7,25.9,10,1,11
Ashutosh Sharma,PBKS,253.1,23.0,11,189,-
Rilee Rossouw,PBKS,251.8,31.4,8,211,-
Swapnil Singh,RCB,244.7,34.9,7,37,6
Nuwan Thushara,MI,242.8,34.6,7,0,8
Liam Livingstone,PBKS,233.0,33.2,7,111,3
Glenn Maxwell,RCB,230.2,23.0,10,52,6
Mayank Yadav,LSG,228.7,57.1,4,0,7
Jaydev Unadkat,SRH,228.2,20.7,11,24,8
Quinton de Kock,LSG,225.8,20.5,11,250,-
Prithvi Shaw,DC,223.6,27.9,8,198,-
Tim David,MI,215.3,16.5,13,241,-
Umesh Yadav,GT,209.0,29.8,7,12,8
Mohit Sharma,GT,208.9,17.4,12,2,13
Rahul Tripathi,SRH,207.9,34.6,6,165,-
Nandre Burger,RR,200.4,40.0,5,0,7
Sai Kishore,GT,199.9,39.9,5,13,7
Rahul Tewatia,GT,197.9,16.4,12,188,-
Azmatullah Omarzai,GT,193.8,27.6,7,42,4
Karn Sharma,RCB,190.7,21.1,9,31,7
Deepak Chahar,CSK,190.0,23.7,8,0,5
MS Dhoni,CSK,189.0,13.5,14,161,-
Rasikh Salam,DC,185.5,23.1,8,28,9
Shai Hope,DC,185.4,20.6,9,183,-
Ajinkya Rahane,CSK,183.4,14.1,13,242,-
Yash Thakur,LSG,182.3,18.2,10,0,11
Abdul Samad,SRH,179.1,11.1,16,182,-
Ramandeep Singh,KKR,173.9,12.4,14,125,-
David Miller,GT,171.8,19.0,9,210,-
Ayush Badoni,LSG,170.4,12.1,14,235,-
Kuldeep Sen,RR,165.2,55.0,3,0,6
Dhruv Jurel,RR,164.9,11.7,14,195,-
Jitesh Sharma,PBKS,162.5,11.6,14,187,-
Lockie Ferguson,RCB,161.9,23.1,7,1,9
Mahipal Lomror,RCB,157.8,15.7,10,125,-
Mayank Markande,SRH,157.5,22.5,7,0,8
M Shahrukh Khan,GT,155.2,22.1,7,127,-
Angkrish Raghuvanshi,KKR,150.9,15.0,10,163,-
Deepak Hooda,LSG,145.7,13.2,11,145,-
Moeen Ali,CSK,141.7,17.7,8,128,2
David Warner,DC,139.0,17.3,8,168,-
Rinku Singh,KKR,133.0,9.5,14,168,-
Shimron Hetmyer,RR,131.6,10.9,12,113,-
Arshad Khan,LSG,129.5,32.3,4,83,1
Anrich Nortje,DC,127.5,21.2,6,4,7
Nehal Wadhera,MI,124.4,20.7,6,109,-
Simarjeet Singh,CSK,119.2,29.8,4,0,5
Akash Madhwal,MI,116.7,23.3,5,4,5
Naman Dhir,MI,115.2,16.4,7,140,-
Sandeep Warrier,GT,114.6,22.9,5,0,6
Josh Little,GT,114.0,114.0,1,0,4
Mitchell Santner,CSK,112.3,37.4,3,14,2
Mohammad Nabi,MI,109.9,15.7,7,35,2
Vijaykumar Vyshak,RCB,108.8,27.2,4,1,4
Aiden Markram,SRH,107.5,9.7,11,220,-
Rovman Powell,RR,106.5,11.8,9,103,-
Shardul Thakur,CSK,106.2,11.8,9,21,5
Shikhar Dhawan,PBKS,104.0,20.8,5,152,-
Reece Topley,RCB,100.9,25.2,4,3,4
Spencer Johnson,GT,99.8,19.9,5,6,4
Wriddhiman Saha,GT,96.4,10.7,9,136,-
Romario Shepherd,MI,87.6,14.6,6,57,1
Vidwath Kaverappa,PBKS,84.8,84.8,1,0,2
Maheesh Theekshana,CSK,83.5,16.7,5,0,2
Shreyas Gopal,MI,82.9,27.6,3,0,3
Vijayakanth Viyaskanth,SRH,81.6,27.2,3,7,1
Darshan Nalkande,GT,77.5,25.8,3,12,3
Mitchell Marsh,DC,67.8,16.9,4,61,1
Matt Henry,LSG,64.8,16.2,4,0,1
Keshav Maharaj,RR,62.9,31.4,2,1,2
Manish Pandey,KKR,61.2,61.2,1,42,-
Atharva Taide,PBKS,55.6,27.8,2,61,-
Rahmanullah Gurbaz,KKR,55.0,27.5,2,62,-
Anuj Rawat,RCB,54.6,10.9,5,98,-
Manimaran Siddharth,LSG,53.4,17.8,3,0,1
Nathan Ellis,PBKS,44.8,44.8,1,0,1
Vijay Shankar,GT,42.1,6.0,7,83,-
Anshul Kamboj,MI,39.6,13.2,3,2,2
Yudhvir Singh,LSG,37.1,18.5,2,21,1
Dewald Brevis,MI,36.6,12.2,3,69,-
Shubham Dubey,RR,29.7,7.4,4,33,-
Amit Mishra,LSG,29.4,29.4,1,0,1
Nitish Rana,KKR,27.4,13.7,2,42,-
Mayank Dagar,RCB,27.3,5.4,5,0,1
Sameer Rizvi,CSK,27.0,3.3,8,51,-
Richard Gleeson,CSK,20.7,10.3,2,2,1
Mayank Agarawal,SRH,20.6,5.1,4,64,-
Jhye Richardson,DC,20.6,20.6,1,2,-
Marco Jansen,SRH,20.3,6.7,3,18,1
Sikandar Raza,PBKS,20.2,10.1,2,43,-
Akash Deep,RCB,15.5,15.5,1,2,1
Lizaad Williams,DC,14.2,7.1,2,1,1
Anukul Roy,KKR,12.5,4.1,3,3,-
Kwena Maphaka,MI,12.1,6.0,2,0,1
Alzarri Joseph,RCB,12.0,4.0,3,0,1
Tom Kohler-Cadmore,RR,10.6,3.5,3,48,-
Luke Wood,MI,8.6,4.3,2,9,1
Arjun Tendulkar,MI,7.7,7.7,1,0,-
Sanvir Singh,SRH,6.1,1.5,4,14,-
Suyash Prabhudessai,RCB,6.0,6.0,1,24,-
Shams Mulani,MI,4.4,2.2,2,1,-
Arshin Kulkarni,LSG,4.1,2.0,2,9,-
Ashton Turner,LSG,3.9,1.9,2,21,-
Tanush Kotian,RR,3.5,3.5,1,24,-
Harpreet Singh,PBKS,3.1,1.5,2,27,-
Kane Williamson,GT,2.7,1.3,2,27,-
Gulbadin Naib,DC,1.3,0.6,2,19,-
Sumit Kumar,DC,0.7,0.1,4,18,-
Saurav Chauhan,RCB,0.3,0.1,3,18,-
Dushmantha Chameera,KKR,0.0,0.0,1,0,-
Rishi Dhawan,PBKS,-0.3,-0.3,1,0,-
Umran Malik,SRH,-0.8,-0.8,1,0,-
Abhinav Manohar,GT,-1.6,-0.8,2,9,-
Anmolpreet Singh,SRH,-2.1,-1.1,2,5,-
Washington Sundar,SRH,-2.2,-1.1,2,0,1
Kumar Kushagra,DC,-2.5,-0.7,4,3,-
Suyash Sharma,KKR,-3.4,-1.7,2,0,-
Krishnappa Gowtham,LSG,-3.4,-3.4,1,0,-
Shamar Joseph,LSG,-4.1,-4.1,1,0,-
BR Sharath,GT,-4.4,-4.4,1,2,-
Kartik Tyagi,GT,-5.6,-5.6,1,0,-
Shivam Singh,PBKS,-6.8,-6.8,1,2,-
Donovan Ferreira,RR,-7.7,-3.9,2,8,-
Matthew Wade,GT,-7.8,-3.9,2,4,-
Manav Suthar,GT,-9.3,-9.3,1,1,-
Himanshu Sharma,RCB,-13.0,-13.0,1,0,-
Ricky Bhui,DC,-14.0,-7.0,2,3,-
Mukesh Choudhary,CSK,-22.0,-22.0,1,0,-
Lalit Yadav,DC,-28.0,-14.0,2,10,-
Devdutt Padikkal,LSG,-33.3,-4.8,7,38,-
